Japanese,English
何,what
あ,a
あなた,you
言,Word
行,line
人,Man
知,Knowledge
彼女,she
お前,you
話,Story
来,Coming
分か,Division
者,person
聞,Hearing
死,death
時,Time
ああ,ah
殺,Murder
達,Daiser
必要,need
あの,that
大丈夫,Are you okay
自分,myself
持,Holding
本当,TRUE
時間,time
我々,we
一,one
的,Intended
無,Nothing
ありがとう,thank you
家,House
日,Day
年,Year
仕事,work
手,hand
一緒,together
後,rear
出来,Good
他,other
入,Entering
電話,phone
目,eye
分,Part
車,car
所,Place
あんた,You
度,Every time
同じ,same
場所,place
問題,problem
子供,child
愛,Love
金,Money
名前,name
子,Child
信,Religion
さあ,here we go
少し,a bit
使,Use
世界,world
教え,lesson
通り,street
来る,come
上,Up
行け,go
今日,today
物,thing
女,woman
呼,Call
じゃあ,Then
止め,Stop
心配,anxiety
母,mother
連れ,Companion
関係,relationship
外,Outside
意味,meaning
神,God
警察,police
力,Power
最後,last
作,Work
次,Next
取,Take
全部,All
間,while
書,book
捜査,investigation
起こ,Ranging
回,times
別,another
情報,information
理由,reason
数,number
部屋,room
以上,that's all
人生,life
急,Sudden
食べ,eat
女性,woman
続け,continue
事件,Case
始め,start
最初,first
連絡,contact
まあ,oh dear
調べ,Investigation
下さ,Slapstick
楽し,Pleasure
殺人,murder
下,under
万,Ten thousand
友達,friend
約束,promise
二,two
結婚,marriage
無理,Impossible
感じ,Feeling
得,Benefit
最高,Best
仲間,fellow
先,Precedence
可能,Possible
あと,After
変わ,Change
確認,confirmation
与え,Giving
全員,All
動,Movement
理解,Understanding
二人,Two persons
友人,friend
機,Machine
不,Unprecedented
離れ,Farewell
戦,War
先生,teacher
言え,say
質問,question
置,Place
受け,received
感,Feeling
第,First
伝え,Conveyor
素晴らし,Wonderful
ドア,door
乗,Boarding
用,for
感謝,Gratitude
正し,Right
言葉,words
大,Big
立,Standing
２人,Two people
博士,Doctor
強,strength
絶対,absolute
座,seat
向か,Opposite
名,given name
ある,be
番,Rank
一番,number one
重要,important
状況,situation
元気,fine
水,water
変え,Change
十分,sufficient
週間,week
やあ,Hi
父親,father
間違い,error
王,king
了解,roger that
相手,partner
員,Member
声,voice
会え,Meet
音,sound
消え,vanish
会社,company
簡単,easy
選,Election
残念,disappointing
自由,freedom
自身,Themselves
等,etc
一体,Integral
人々,people
報告,report
読,Reading
過ぎ,Over
通,Passage
アメリカ,America
元,Origin
命令,order
高,High
体,body
月,Month
警官,Police officer
語,word
学校,school
対,versus
真実,truth
初めて,first time
口,mouth
要,Key
変,strange
戦争,war
学,Learning
あそこ,over there
武器,weapon
店,shop
母親,mother
刑事,Criminal
気持ち,feeling
間違,mistake
運,luck
記録,record
光,light
手伝,help
深,Deep
落ち着,Calmness
存在,Existence
実,fruit
役,Role
住,Residence
責任,responsibility
あっ,Ah
普通,usually
行動,Behavior
大きな,big
監視,Monitoring
協力,cooperation
多分,perhaps
実際,actual
足,feet
地球,Earth
生活,life
任せ,leave to
気分,feeling
解決,Solution
調査,investigation
研究,the study
何処,where
発見,discovery
場,Place
止ま,Stopping
興味,interest
大き,big
生,Living
なあ,What
運転,driving
ヶ月,months
多,Many
１人,One person
番号,number
状態,situation
来い,come
開,Open
上手,good
済,done
場合,case
刑務,Sentence
今度,next time
以外,other than
朝,morning
飛行,Flight
あまり,not much
近く,near
目的,the purpose
歌,song
面白,Fun
弁護,Defense
客,Customer
売,Selling
特別,special
昨日,yesterday
少な,Small
認め,Recognition
死体,cadaver
医者,doctor
装置,Device
共,Both
あんな,Such a thing
不明,not clear
信用,credit
美し,beautiful
用意,preparation
話せ,Talk
移動,Migration
映画,movie
美咲,Beautiful Saki
取引,transaction
最近,recently
現場,Site
事故,accident
連中,Their colleagues
過去,past
全く,absolutely
選択,choice
完全,Perfect
信頼,trust
町,town
始ま,Beginning
付け,Attachment
あら,fault
記憶,Memory
頑張,Hard -working
2人,Two people
素敵,nice
身,Body
有,Existence
非常,Informal
三,three
最も,most
人物,person
生まれ,birth
警備,security
以前,Before
無事,Safely
聞け,Hear
決して,never
銀行,Bank
馬鹿,fool
降り,Falling off
大学,University
州,state
今回,this time
空,Sky
経験,experience
本物,Real thing
未来,future
正直,Honesty
年間,Year
無駄,waste
島,island
病気,disease
風,Wind
治療,Treatment
予定,schedule
点,point
1人,1 person
最悪,worst
本気,Seriousness
任務,mission
日本,Japan
作戦,Strategy
成功,success
近づ,Close
消,Extinguishing
科学,Science
向こう,Across
事実,fact
食,Food
関,Relation
戦い,Fight
爆発,explosion
現実,reality
保護,protection
地下,underground
隊,Squad
地,Land
別れ,farewell
使え,Useful
組織,Organization
式,formula
落ち着け,Calmness
動物,animal
下が,Below
個人,Individual
期待,Expectation
調子,condition
線,line
局,Bureau
利用,use
主人,master
館,Mansion
毎日,every day
付,Attached
当然,Of course
患者,patient
全,all
今朝,this morning
過ご,Passing
馬,Horse
あー,ah
地獄,hell
合,Agency
続,Continuation
小さ,small
火,fire
平気,Calm
世話,care
能力,ability
理子,Riko
検査,inspection
アレックス,Alex
木,wood
号,issue
山,Mountain
解,Solution
食事,meal
幸運,Good luck
構,Lingering
侵入,Invasion
駄目,Useless
緊急,emergency
親父,father
気付,care
主,main
速,Speed
代わり,Substitute
休,Rest
原因,Cause
警告,caveat
山里,Mountain village
部下,subordinate
運命,destiny
